157.55.39.156 - - [20/Feb/2022:02:39:19 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
130.211.54.158 - - [20/Feb/2022:03:02:30 +0100] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.27.1"
20.121.11.6 - - [20/Feb/2022:03:21:36 +0100] "GET /.env HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
20.121.11.6 - - [20/Feb/2022:03:21:37 +0100] "POST / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
177.185.156.202 - - [20/Feb/2022:04:14:40 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
114.119.146.179 - - [20/Feb/2022:04:18:51 +0100] "GET /author/krzwiatrzyk/ HTTP/1.1" 404 12254 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
66.249.69.61 - - [20/Feb/2022:04:32:14 +0100] "GET /robots.txt HTTP/1.1" 200 108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.61 - - [20/Feb/2022:04:32:14 +0100] "GET /sitemap.xml HTTP/1.1" 200 642 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
3.236.23.219 - - [20/Feb/2022:04:51:54 +0100] "GET /rss HTTP/1.1" 301 5 "-" "Forem Feeds Importer"
3.236.23.219 - - [20/Feb/2022:04:51:54 +0100] "GET /rss/ HTTP/1.1" 200 3444 "-" "Forem Feeds Importer"
45.137.21.134 - - [20/Feb/2022:05:00:06 +0100] "GET /doc/script/lib/seajs/config/sea-config.js HTTP/1.1" 301 162 "-" "Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X; en-US) AppleWebKit/531.5.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6531.5.2"
62.171.149.200 - - [20/Feb/2022:05:29:56 +0100] "GET /config/getuser?index=0 HTTP/1.1" 400 248 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
114.119.146.197 - - [20/Feb/2022:06:10:25 +0100] "GET /signin/ HTTP/1.1" 404 12237 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
103.125.189.254 - - [20/Feb/2022:06:37:21 +0100] "GET /.env HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
103.125.189.254 - - [20/Feb/2022:06:37:22 +0100] "POST / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
89.177.0.111 - - [20/Feb/2022:06:43:51 +0100] "GET / HTTP/1.0" 301 162 "-" "-"
78.177.38.50 - - [20/Feb/2022:07:01:41 +0100] "GET / HTTP/1.0" 301 162 "-" "-"
74.82.47.3 - - [20/Feb/2022:07:07:26 +0100] "GET / HTTP/1.1" 200 1345 "-" "-"
193.174.89.19 - - [20/Feb/2022:08:03:11 +0100] "GET /webadmin/Index.action HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0"
81.17.24.154 - - [20/Feb/2022:08:21:59 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
192.241.203.186 - - [20/Feb/2022:08:37:39 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 zgrab/0.x"
209.141.61.40 - - [20/Feb/2022:08:39:22 +0100] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 301 162 "-" "ZmEu"
209.141.61.40 - - [20/Feb/2022:08:39:23 +0100] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 301 162 "-" "ZmEu"
209.141.61.40 - - [20/Feb/2022:08:39:23 +0100] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 301 162 "-" "ZmEu"
192.241.211.223 - - [20/Feb/2022:09:04:30 +0100] "GET / HTTP/1.1" 200 595 "-" "Mozilla/5.0 zgrab/0.x"
114.119.146.18 - - [20/Feb/2022:09:12:18 +0100] "GET /content/images/2021/12/Weekly-1.png HTTP/1.1" 200 286095 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
175.100.20.245 - - [20/Feb/2022:09:16:05 +0100] "GET /.env HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
175.100.20.245 - - [20/Feb/2022:09:16:06 +0100] "POST / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
207.46.13.88 - - [20/Feb/2022:09:16:22 +0100] "GET /signup/ HTTP/2.0" 404 12219 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
3.236.23.219 - - [20/Feb/2022:09:52:07 +0100] "GET /rss HTTP/1.1" 301 5 "-" "Forem Feeds Importer"
3.236.23.219 - - [20/Feb/2022:09:52:07 +0100] "GET /rss/ HTTP/1.1" 200 3449 "-" "Forem Feeds Importer"
74.82.47.2 - - [20/Feb/2022:10:26:55 +0100] "GET / HTTP/1.1" 301 162 "-" "-"
104.131.92.21 - - [20/Feb/2022:10:51:42 +0100] "GET / HTTP/1.1" 200 595 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
106.75.27.111 - - [20/Feb/2022:10:56:08 +0100] "GET / HTTP/1.0" 200 1345 "-" "-"
64.227.0.217 - - [20/Feb/2022:11:07:40 +0100] "GET / HTTP/1.0" 400 248 "-" "-"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET / HTTP/2.0" 200 13159 "-" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /assets/styles/main.css?v=37bff49e5b HTTP/2.0" 200 14057 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /assets/scripts/main.js?v=37bff49e5b HTTP/2.0" 200 9977 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /content/images/size/w300/2021/10/d417ce9e68114f09acc670e5928685a3--5--1.png HTTP/2.0" 200 2741 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /content/images/size/w1000/2021/12/Weekly.png HTTP/2.0" 200 136035 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /content/images/size/w1000/2021/12/Weekly-1.png HTTP/2.0" 200 121835 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /content/images/size/w1000/2021/11/Weekly.png HTTP/2.0" 200 121835 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /content/images/size/w30/2021/10/Screenshot_8.png HTTP/2.0" 200 1256 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:05 +0100] "GET /assets/scripts/pagination.js?v=37bff49e5b HTTP/2.0" 200 852 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:24:07 +0100] "GET /content/images/size/w1000/2021/10/Screenshot_8.png HTTP/2.0" 200 243714 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:25:20 +0100] "GET /weekly-stories-3/ HTTP/2.0" 200 15597 "https://krzwiatrzyk.eu/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:25:20 +0100] "GET /assets/images/avatar.png?v=37bff49e5b HTTP/2.0" 200 1550 "https://krzwiatrzyk.eu/weekly-stories-3/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:25:20 +0100] "GET /content/images/size/w30/2021/11/Weekly.png HTTP/2.0" 200 1382 "https://krzwiatrzyk.eu/weekly-stories-3/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
83.29.145.230 - - [20/Feb/2022:11:25:20 +0100] "GET /content/images/size/w30/2021/12/Weekly.png HTTP/2.0" 200 1357 "https://krzwiatrzyk.eu/weekly-stories-3/" "Mozilla/5.0 (Linux; Android 11; M2102J20SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36 OPR/67.1.3508.63168"
157.55.39.23 - - [20/Feb/2022:12:28:12 +0100] "GET /robots.txt HTTP/2.0" 200 108 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.88 - - [20/Feb/2022:12:28:21 +0100] "GET / HTTP/2.0" 200 13159 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
81.17.24.154 - - [20/Feb/2022:12:30:35 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
45.137.21.134 - - [20/Feb/2022:13:06:33 +0100] "GET /dispatch.asp HTTP/1.1" 301 162 "-" "Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X; en-US) AppleWebKit/531.5.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6531.5.2"
114.119.146.195 - - [20/Feb/2022:13:18:43 +0100] "GET /tripy-2021/ HTTP/1.1" 200 12357 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
82.145.215.206 - - [20/Feb/2022:14:13:24 +0100] "GET / HTTP/1.1" 200 13172 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
82.145.215.206 - - [20/Feb/2022:14:13:24 +0100] "GET /favicon.png HTTP/1.1" 200 2741 "-" "Go-http-client/1.1"
82.145.215.206 - - [20/Feb/2022:14:13:24 +0100] "GET /apple-touch-icon.png HTTP/1.1" 301 5 "-" "Go-http-client/1.1"
82.145.215.206 - - [20/Feb/2022:14:13:25 +0100] "GET /apple-touch-icon.png/ HTTP/1.1" 404 12247 "https://krzwiatrzyk.eu/apple-touch-icon.png" "Go-http-client/1.1"
114.119.146.185 - - [20/Feb/2022:14:33:51 +0100] "GET /weekly-stories-2/ HTTP/1.1" 200 15977 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
167.94.145.60 - - [20/Feb/2022:14:37:35 +0100] "GET / HTTP/1.1" 301 162 "-" "-"
167.94.145.60 - - [20/Feb/2022:14:37:35 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.145.60 - - [20/Feb/2022:14:37:35 +0100] "PRI * HTTP/2.0" 400 150 "-" "-"
167.94.145.60 - - [20/Feb/2022:14:37:36 +0100] "GET / HTTP/1.1" 200 595 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
81.17.24.154 - - [20/Feb/2022:14:44:49 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
123.193.80.233 - - [20/Feb/2022:14:50:03 +0100] "GET / HTTP/1.0" 301 162 "-" "-"
18.215.158.134 - - [20/Feb/2022:14:52:12 +0100] "GET /rss HTTP/1.1" 301 5 "-" "Forem Feeds Importer"
18.215.158.134 - - [20/Feb/2022:14:52:12 +0100] "GET /rss/ HTTP/1.1" 200 3444 "-" "Forem Feeds Importer"
185.191.171.41 - - [20/Feb/2022:15:09:43 +0100] "GET /robots.txt HTTP/1.1" 200 108 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
185.191.171.4 - - [20/Feb/2022:15:09:44 +0100] "GET /author/krzysztof/ HTTP/1.1" 200 13440 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
139.162.145.250 - - [20/Feb/2022:15:24:47 +0100] "GET /bag2 HTTP/1.1" 400 650 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0)"
157.55.39.156 - - [20/Feb/2022:15:48:35 +0100] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
167.94.145.59 - - [20/Feb/2022:16:07:32 +0100] "GET / HTTP/1.1" 200 1345 "-" "-"
167.94.145.59 - - [20/Feb/2022:16:07:32 +0100] "GET / HTTP/1.1" 200 595 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
37.214.74.105 - - [20/Feb/2022:16:23:10 +0100] "GET /kubernetes-headless-service/ HTTP/2.0" 200 16206 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /assets/styles/main.css?v=37bff49e5b HTTP/2.0" 200 14057 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/size/w300/2021/10/d417ce9e68114f09acc670e5928685a3--5--1.png HTTP/2.0" 200 2741 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /assets/scripts/main.js?v=37bff49e5b HTTP/2.0" 200 9977 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /assets/images/avatar.png?v=37bff49e5b HTTP/2.0" 200 1550 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/image-2.png HTTP/2.0" 200 18100 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/obraz_2021-10-02_103514.png HTTP/2.0" 200 14588 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/size/w2000/2021/10/Screenshot_8.png HTTP/2.0" 200 243714 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/image-1.png HTTP/2.0" 200 18781 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/image-8.png HTTP/2.0" 200 27358 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/image-9.png HTTP/2.0" 200 9699 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/image-10.png HTTP/2.0" 200 9335 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/image-14.png HTTP/2.0" 200 10295 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:11 +0100] "GET /content/images/2021/10/Kafka-Topic-Partition.drawio--2-.png HTTP/2.0" 200 28195 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
37.214.74.105 - - [20/Feb/2022:16:23:13 +0100] "GET /favicon.png HTTP/2.0" 200 2741 "https://krzwiatrzyk.eu/kubernetes-headless-service/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36"
83.29.145.230 - - [20/Feb/2022:16:33:10 +0100] "GET /ghost/ HTTP/2.0" 200 1553 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.62"
83.29.145.230 - - [20/Feb/2022:16:33:11 +0100] "GET /ghost/assets/img/favicon.ico HTTP/2.0" 200 3781 "https://krzwiatrzyk.eu/ghost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.62"
83.29.145.230 - - [20/Feb/2022:16:33:11 +0100] "GET /ghost/api/canary/admin/users/me/?include=roles HTTP/2.0" 200 755 "https://krzwiatrzyk.eu/ghost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.62"
83.29.145.230 - - [20/Feb/2022:16:33:11 +0100] "GET /ghost/api/canary/admin/site/ HTTP/2.0" 200 339 "https://krzwiatrzyk.eu/ghost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.62"
83.29.145.230 - - [20/Feb/2022:16:33:12 +0100] "GET /ghost/api/canary/admin/config/ HTTP/2.0" 200 239 "https://krzwiatrzyk.eu/ghost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.62"
83.29.145.230 - - [20/Feb/2022:16:33:12 +0100] "GET /ghost/api/canary/admin/settings/?group=site%2Ctheme%2Cprivate%2Cmembers%2Cportal%2Cnewsletter%2Cemail%2Camp%2Clabs%2Cslack%2Cunsplash%2Cviews%2Cfirstpromoter%2Coauth%2Ceditor HTTP/2.0" 200 1857 "https://krzwiatrzyk.eu/ghost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.62"
83.29.145.230 - - [20/Feb/2022:16:33:12 +0100] "GET /ghost/api/canary/admin/notifications/ HTTP/2.0" 200 378 "https://krzwiatrzyk.eu/ghost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.62"
